Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr19,29.318,3.329,RPS19,ENSG00000105372.8_6
chrX,25.578,3.328,SLC25A5,ENSG00000005022.6_3
chr19,14.276,3.328,hsa-mir-6797,MI0022642
chr4,11.483,3.327,TMEM33,ENSG00000109133.13_3
chr5,6.45,3.327,BRIX1,ENSG00000113460.13_3
chr1,11.053,3.327,CLIC4,ENSG00000169504.15_4
chr8,11.446,3.326,PRKDC,ENSG00000253729.8_4
chr3,7.586,3.325,TUSC2,ENSG00000114383.10_5
chr1,12.572,3.325,PSMB2,ENSG00000126067.12_4
chr11,16.444,3.324,EIF4G2,ENSG00000110321.17_9
chr2,5.223,3.324,PCYOX1,ENSG00000116005.12_6
chr14,21.672,3.324,RPS29,ENSG00000213741.10_6
chr20,7.389,3.321,YWHAB,ENSG00000166913.13_4
chr1,3.682,3.32,B3GALT6,ENSG00000176022.7_7
chrM,400.0,3.32,MT-TV,ENSG00000210077.1
chr13,4.879,3.32,COL4A1,ENSG00000187498.16_6
chr15,10.836,3.318,COX5A,ENSG00000178741.12_4
chr5,5.21,3.317,HMGCR,ENSG00000113161.16_4
chr16,4.661,3.317,PDPR,ENSG00000090857.13_4
chr1,13.289,3.317,ARF1,ENSG00000143761.16_4
chrX,5.21,3.317,USP9X,ENSG00000124486.13_5
chr8,18.307,3.316,RPL8,ENSG00000161016.17_6
chr1,16.193,3.314,DEGS1,ENSG00000143753.13_4
chr1,5.87,3.314,LBR,ENSG00000143815.15_6
chr16,9.629,3.313,MRPS34,ENSG00000074071.14_4
chr2,4.518,3.313,YIPF4,ENSG00000119820.11_4
chr19,13.86,3.312,PTBP1,ENSG00000011304.20_7
chr3,5.564,3.311,C3orf52,ENSG00000114529.12_4
chr15,29.757,3.311,SNORD18C|RPL4,ENSG00000199574.1||ENSG00000174444.15_5
chr10,5.564,3.311,CCDC6,ENSG00000108091.11_4
chr14,3.619,3.311,RBM23,ENSG00000100461.18_6
chr16,3.04,3.311,COTL1,ENSG00000103187.8_5
chr10,4.263,3.311,OAT,ENSG00000065154.12_3
chr8,4.263,3.311,DERL1,ENSG00000136986.10_4
chr5,4.1,3.311,YIPF5,ENSG00000145817.17_4
chr1,8.734,3.311,EMC1,ENSG00000127463.15_8
chr12,5.257,3.309,ACVR1B,ENSG00000135503.13_5
chr1,10.14,3.309,DHCR24,ENSG00000116133.13_5
chr5,46.116,3.308,SNORA74A,ENSG00000200959.1
chrX,20.639,3.308,ATP6AP1,ENSG00000071553.17_5
chrM,400.0,3.307,MT-ND4L,ENSG00000212907.2_1
chr16,23.46,3.307,RPS15A,ENSG00000134419.15_5
chr9,30.235,3.306,SIGMAR1,ENSG00000147955.17_4
chr3,11.513,3.306,RPN1,ENSG00000163902.12_5
chrX,7.515,3.305,LAMP2,ENSG00000005893.16_4
chr1,5.06,3.305,CREG1,ENSG00000143162.9_5
chr6,10.018,3.304,SEC63,ENSG00000025796.14_4
chr1,5.712,3.304,ATP6V0B,ENSG00000117410.14_4
chr10,5.257,3.304,OAT,ENSG00000065154.12_3
chr11,3.264,3.304,GLB1L2,ENSG00000149328.15_3
chr10,4.518,3.304,ERLIN1,ENSG00000107566.14_5
chr12,4.661,3.304,ZNF664,ENSG00000179195.16_4
chr1,5.416,3.304,SELENON,ENSG00000162430.17_7
chr12,11.145,3.303,AC005833.1|NDUFA9,ENSG00000139180.11_6||ENSG00000255639.3_8
chr19,55.981,3.303,EEF2,ENSG00000167658.16_4
chr17,49.417,3.302,RPS2P46,ENSG00000189343.7_4
chr7,26.591,3.302,ACTB,ENSG00000075624.16_7
chr19,28.214,3.302,BSG,ENSG00000172270.20_6
chr3,33.078,3.301,RPN1,ENSG00000163902.12_5
chr11,3.571,3.3,STT3A,ENSG00000134910.14_6
chr19,4.653,3.3,FEM1A,ENSG00000141965.5_3
chr6,6.45,3.299,HLA-C,ENSG00000204525.16_3
chr6,27.616,3.298,H2AC11,ENSG00000196787.3_3
chr17,6.295,3.298,TMEM101,ENSG00000091947.10_5
chr8,5.791,3.297,SARAF,ENSG00000133872.14_9
chr5,47.401,3.296,SNORA74A,ENSG00000200959.1
chr11,7.185,3.296,RPL27A,ENSG00000166441.13_4
chr17,4.382,3.295,TMEM97,ENSG00000109084.14_4
chr5,16.564,3.294,LMAN2,ENSG00000169223.15_6
chr1,16.404,3.294,PARK7,ENSG00000116288.13_4
chr8,6.362,3.293,PTDSS1,ENSG00000156471.13_3
chr17,3.105,3.293,RAB5C,ENSG00000108774.14_6
chr19,3.105,3.293,CNN2,ENSG00000064666.15_6
chr1,16.494,3.293,RPL22,ENSG00000116251.11_6
chr20,4.217,3.293,SLC23A2,ENSG00000089057.15_6
chr16,7.977,3.292,RNPS1,ENSG00000205937.12_8
chr1,30.696,3.292,ATP1A1,ENSG00000163399.16_4
chr11,6.295,3.291,TPP1,ENSG00000166340.17_6
chr17,4.653,3.29,CPD,ENSG00000108582.12_7
chr17,8.524,3.29,CPD,ENSG00000108582.12_7
chr19,7.426,3.29,CARM1,ENSG00000142453.11_7
chr8,5.258,3.289,COX6C,ENSG00000164919.11_6
chr15,6.005,3.287,TM2D3,ENSG00000184277.13_5
chr12,37.728,3.287,ATP2A2,ENSG00000174437.17_5
chr2,7.586,3.285,SUMO1,ENSG00000116030.16_3
chr17,6.771,3.285,PRPF8,ENSG00000174231.17_5
chr16,3.357,3.284,COTL1,ENSG00000103187.8_5
chr6,7.503,3.284,AMD1,ENSG00000123505.18_7
chr3,18.418,3.284,CTNNB1,ENSG00000168036.18_8
chr1,5.117,3.284,ICMT,ENSG00000116237.16_4
chr15,10.018,3.282,HACD3,ENSG00000074696.13_4
chr17,3.549,3.282,MAP2K4,ENSG00000065559.15_4
chr1,7.592,3.282,SLC39A1,ENSG00000143570.18_6
chr1,12.6,3.282,PSMB2,ENSG00000126067.12_4
chr11,3.549,3.282,AP000721.1|COX8A,ENSG00000256100.1_6||ENSG00000176340.4_4
chr8,5.712,3.28,ASPH,ENSG00000198363.18_5
chr11,4.818,3.28,EXT2,ENSG00000151348.14_4
chr1,10.139,3.28,ATP2B4,ENSG00000058668.14_4
chr2,9.022,3.279,CCT4,ENSG00000115484.15_4
chr2,4.518,3.279,RAB3GAP1,ENSG00000115839.17_3
chr19,39.893,3.279,RPL18,ENSG00000063177.13_6
chr1,3.918,3.279,SLC2A1,ENSG00000117394.23_7
chr12,3.064,3.278,SBNO1,ENSG00000139697.14_3
chr17,45.288,3.278,ACTG1,ENSG00000184009.12_8
chr11,22.83,3.277,RTN3,ENSG00000133318.14_8
chr15,400.0,3.276,RPLP1,ENSG00000137818.12_3
chr19,54.737,3.275,RPS15,ENSG00000115268.9_4
chr5,7.389,3.275,NHP2,ENSG00000145912.8_3
chr1,5.257,3.274,WLS,ENSG00000116729.14_8
chr14,4.518,3.274,PNMA1,ENSG00000176903.5_3
chr7,7.67,3.274,REPIN1,ENSG00000214022.11_9
chr11,4.903,3.274,SC5D,ENSG00000109929.10_4
chr16,4.16,3.274,FOPNL,ENSG00000133393.13_5
chr22,4.217,3.274,IL17RA,ENSG00000177663.14_3
chr8,7.639,3.274,SQLE,ENSG00000104549.12_3
chr11,3.283,3.274,DDX6,ENSG00000110367.13_5
chr15,5.564,3.274,MORF4L1,ENSG00000185787.15_6
chr11,12.308,3.273,CD81,ENSG00000110651.11_5
chr19,23.668,3.272,LMNB2,ENSG00000176619.13_6
chr7,14.591,3.272,CYP51A1,ENSG00000001630.17_8
chr1,32.331,3.271,ATP1A1,ENSG00000163399.16_4
chr10,13.52,3.271,ALDH18A1,ENSG00000059573.9_4
chr17,4.924,3.27,SCPEP1,ENSG00000121064.13_6
chr8,5.507,3.27,TNFRSF10D,ENSG00000173530.6_4
chr19,3.394,3.27,DNM2,ENSG00000079805.16_5
chr12,12.72,3.269,TMED2,ENSG00000086598.11_3
chr19,5.564,3.269,PLD3,ENSG00000105223.20_4
chr1,8.143,3.268,GALNT2,ENSG00000143641.10_3
chr6,30.203,3.268,TXNDC5,ENSG00000239264.9_5
chr1,8.734,3.267,PTPRF,ENSG00000142949.17_4
chr15,15.177,3.267,HACD3,ENSG00000074696.13_4
chrX,17.533,3.267,ATP6AP1,ENSG00000071553.17_5
chr19,23.735,3.267,RPS16,ENSG00000105193.9_4
chr12,41.714,3.267,TUBA1B,ENSG00000123416.15_7
chr11,8.323,3.267,SLC3A2,ENSG00000168003.16_4
chr12,16.34,3.266,SNORA53,ENSG00000212443.1
chr6,37.381,3.266,H4C5,ENSG00000276966.2_3
chr18,3.555,3.266,NPC1,ENSG00000141458.13_5
chr17,3.694,3.266,CPD,ENSG00000108582.12_7
chr17,3.952,3.266,SCDP1,ENSG00000226549.3_2
chr12,5.87,3.265,TM7SF3,ENSG00000064115.11_7
chr5,5.564,3.265,MGAT1,ENSG00000131446.16_7
chr5,400.0,3.264,RACK1,ENSG00000204628.12_7
chr3,7.209,3.264,TMEM43,ENSG00000170876.7_3
chr7,8.906,3.263,RAC1,ENSG00000136238.18_4
chr22,54.36,3.263,MIF,ENSG00000240972.2_5
chr1,42.607,3.263,ENO1,ENSG00000074800.16_8
chr2,8.968,3.263,RPLP0P6,ENSG00000213553.4_4
chr5,3.152,3.261,SLC30A5,ENSG00000145740.19_4
chr16,3.394,3.261,RFWD3,ENSG00000168411.14_5
chr11,4.682,3.261,CAPRIN1,ENSG00000135387.21_4
chr17,3.029,3.261,ACACA,ENSG00000278540.5_6
chr1,14.432,3.261,TOMM20,ENSG00000173726.11_4
chr1,3.029,3.261,GNG4,ENSG00000168243.11_5
chr17,3.029,3.261,TMEM101,ENSG00000091947.10_5
chr9,4.141,3.261,QSOX2,ENSG00000165661.17_6
chr3,12.55,3.259,TKT,ENSG00000163931.16_4
chr12,18.667,3.259,EIF4B,ENSG00000063046.17_4
chr5,7.209,3.259,LPCAT1,ENSG00000153395.10_4
chr12,10.873,3.259,SLC25A3,ENSG00000075415.12_7
chr5,13.574,3.259,EPB41L4A-AS1,ENSG00000224032.7_3
chr1,8.236,3.258,C1orf43,ENSG00000143612.20_4
chr19,34.559,3.258,RPL18,ENSG00000063177.13_6
chr12,31.397,3.257,RPS11P5,ENSG00000232888.4_4
chr8,4.955,3.257,TUSC3,ENSG00000104723.21_4
chr15,400.0,3.257,RPLP1,ENSG00000137818.12_3
chr16,4.955,3.257,CDIPT,ENSG00000103502.14_4
chr1,3.836,3.256,SFT2D2,ENSG00000213064.10_3
chr22,7.708,3.255,DGCR2,ENSG00000070413.20_6
chr17,22.342,3.253,P4HB,ENSG00000185624.15_4
chr19,3.918,3.252,NUDT19,ENSG00000213965.3_2
chr15,3.485,3.252,ALDH1A2,ENSG00000128918.15_5
chr5,3.573,3.252,SLC35A4,ENSG00000176087.15_4
chr17,5.258,3.251,CSNK1D,ENSG00000141551.14_6
chr16,4.382,3.251,PDPR,ENSG00000090857.13_4
chr1,5.712,3.251,SFT2D2,ENSG00000213064.10_3
chrX,4.263,3.251,TSPAN6,ENSG00000000003.15_4
chr5,12.885,3.25,HNRNPA0,ENSG00000177733.7_4
chr2,13.802,3.25,TSN,ENSG00000211460.12_5
chr2,7.586,3.25,PCBP1,ENSG00000169564.7_4
chr1,7.804,3.25,GLUL,ENSG00000135821.18_5
chr11,4.955,3.248,CTSC,ENSG00000109861.16_4
chr3,4.818,3.248,OPA1,ENSG00000198836.10_5
chr12,4.1,3.248,ANAPC5,ENSG00000089053.13_4
chr11,4.818,3.248,JAM3,ENSG00000166086.13_4
chr18,12.769,3.248,ATP5F1A,ENSG00000152234.16_7
chr11,11.969,3.247,STT3A,ENSG00000134910.14_6
chr5,49.758,3.247,RPL37,ENSG00000145592.14_6
chr15,12.308,3.245,HACD3,ENSG00000074696.13_4
chr18,7.543,3.243,LMAN1,ENSG00000074695.6_4
chr3,15.098,3.241,RPN1,ENSG00000163902.12_5
chr19,29.516,3.241,BSG,ENSG00000172270.20_6
chr12,17.206,3.241,RPL18AP3,ENSG00000213442.5_4
chr6,15.205,3.241,TMEM30A,ENSG00000112697.17_5
chr7,7.099,3.24,LMTK2,ENSG00000164715.6_3
chr13,6.787,3.24,RPL34P27,ENSG00000232858.1_4
chr3,3.918,3.24,HEG1,ENSG00000173706.14_6
chr1,4.941,3.24,PSMB4,ENSG00000159377.11_3
chr17,10.896,3.239,SNORD42B,ENSG00000238423.1
chr5,3.283,3.237,ISOC1,ENSG00000066583.12_5
chr8,4.217,3.235,MTDH,ENSG00000147649.10_5
chr1,6.876,3.235,MRPL37,ENSG00000116221.15_2
chr9,3.205,3.235,TGFBR1,ENSG00000106799.13_4
chr14,6.362,3.235,TMX1,ENSG00000139921.13_3
chr6,7.211,3.235,IGF2R,ENSG00000197081.14_7
chr15,7.006,3.235,NGRN,ENSG00000182768.8_3
chr15,13.714,3.234,COX5A,ENSG00000178741.12_4
chr11,12.88,3.233,STT3A,ENSG00000134910.14_6
chr21,6.937,3.232,GART,ENSG00000159131.17_6
chr19,11.671,3.232,COLGALT1,ENSG00000130309.11_7
chr12,21.437,3.232,CCT2,ENSG00000166226.13_3
chr2,7.867,3.231,UGGT1,ENSG00000136731.13_3
chr17,3.105,3.23,AC099850.3|SMG8,ENSG00000167447.12_5||ENSG00000265303.1_9
chr12,6.177,3.23,CDK2,ENSG00000123374.11_3
chr20,5.608,3.23,YWHAB,ENSG00000166913.13_4
chr3,13.174,3.229,SEC61A1,ENSG00000058262.10_3
chr6,9.816,3.229,H3C1,ENSG00000275714.1_3
chr6,32.172,3.228,EEF1A1,ENSG00000156508.18_6
chr1,19.368,3.228,TOMM20,ENSG00000173726.11_4
chr2,15.292,3.228,ACSL3,ENSG00000123983.14_3
chr8,51.388,3.228,RPL8,ENSG00000161016.17_6
chr7,19.932,3.228,ACTB,ENSG00000075624.16_7
chr15,8.358,3.227,PSMA4,ENSG00000041357.16_4
chr3,7.164,3.226,DAG1,ENSG00000173402.12_7
chr5,3.619,3.226,ERGIC1,ENSG00000113719.16_4
chr10,6.45,3.226,BLOC1S2,ENSG00000196072.12_6
chr19,19.236,3.225,NDUFA11,ENSG00000174886.13_6
chr15,4.661,3.225,RCN2,ENSG00000117906.14_6
chr6,25.578,3.225,H3C2,ENSG00000286522.1_2
chr12,4.006,3.224,LTA4H,ENSG00000111144.10_4
chr11,6.933,3.224,HYOU1,ENSG00000149428.19_8
chr14,3.226,3.224,PCNX1,ENSG00000100731.16_5
chr15,3.682,3.222,NEO1,ENSG00000067141.17_4
chr15,400.0,3.221,RPLP1,ENSG00000137818.12_3
chr5,13.077,3.221,C5orf15,ENSG00000113583.8_4
chr21,10.93,3.221,SLC19A1,ENSG00000173638.19_6
chr2,5.257,3.221,KIDINS220,ENSG00000134313.15_7
chr10,5.257,3.221,RSU1,ENSG00000148484.18_5
chr5,9.734,3.22,ATP6V0E1,ENSG00000113732.9_4
chr6,6.362,3.22,GLO1,ENSG00000124767.7_4
chr1,10.662,3.22,PTPRF,ENSG00000142949.17_4
chr6,17.042,3.22,TXNDC5,ENSG00000239264.9_5
chr22,6.549,3.219,YWHAH,ENSG00000128245.15_6
chr5,5.416,3.219,ERGIC1,ENSG00000113719.16_4
chr17,7.288,3.219,IGF2BP1,ENSG00000159217.10_4
chr9,7.515,3.218,TGFBR1,ENSG00000106799.13_4
chr3,5.446,3.218,MFSD1,ENSG00000118855.21_7
chr4,5.053,3.217,MAEA,ENSG00000090316.16_4
chrX,7.099,3.216,PRDX4,ENSG00000123131.13_3
chr11,5.117,3.215,STT3A,ENSG00000134910.14_6
chr12,3.394,3.215,KCTD10,ENSG00000110906.13_4
chr17,5.888,3.215,USP22,ENSG00000124422.12_6
chr3,8.418,3.215,SPCS1,ENSG00000114902.14_4
chr3,11.446,3.215,FLNB,ENSG00000136068.14_5
chr3,3.394,3.215,SUMF1,ENSG00000144455.14_5
chr14,10.812,3.215,PSMB5,ENSG00000100804.19_5
chr3,5.117,3.215,GLB1,ENSG00000170266.16_5
chr5,3.479,3.215,MARCHF6,ENSG00000145495.16_5
chr16,3.029,3.215,GLG1,ENSG00000090863.11_4
chr7,4.1,3.215,,
chr21,19.045,3.215,HSPA13,ENSG00000155304.6_4
chr1,3.323,3.215,EFHD2,ENSG00000142634.13_3
chr10,3.828,3.215,FAM171A1,ENSG00000148468.17_4
chr12,7.301,3.215,PTPN11,ENSG00000179295.17_3
chr11,7.67,3.214,STT3A,ENSG00000134910.14_6
chr3,21.939,3.214,SEC61A1,ENSG00000058262.10_3
chr11,15.533,3.213,APLP2,ENSG00000084234.17_5
chr17,5.053,3.212,USP22,ENSG00000124422.12_6
chr1,12.788,3.211,LAMC1,ENSG00000135862.6_3
chr2,21.575,3.211,HDLBP,ENSG00000115677.17_7
chr16,22.263,3.211,TUFM,ENSG00000178952.11_5
chr1,5.245,3.211,MPZL1,ENSG00000197965.12_5
chr1,8.213,3.211,CLSTN1,ENSG00000171603.18_4
chr17,14.809,3.211,PRPF8,ENSG00000174231.17_5
chrX,14.623,3.211,PLS3,ENSG00000102024.18_4
chr5,16.551,3.21,LPCAT1,ENSG00000153395.10_4
chrX,9.022,3.209,ATP6AP1,ENSG00000071553.17_5
chr14,6.649,3.209,ARF6,ENSG00000165527.7_4
chr3,4.16,3.208,EIF1B,ENSG00000114784.4_3
chr3,3.573,3.208,EPHA3,ENSG00000044524.11_3
chr16,3.619,3.208,SPNS1,ENSG00000169682.18_5
chr5,3.105,3.208,MGAT1,ENSG00000131446.16_7
chr2,4.777,3.208,XPO1,ENSG00000082898.17_4
chr4,4.653,3.208,FAT1,ENSG00000083857.14_6
chr19,28.883,3.207,RPS19,ENSG00000105372.8_6
chr1,6.111,3.207,SELENON,ENSG00000162430.17_7
chr22,9.375,3.206,SMARCB1,ENSG00000099956.19_5
chr6,19.722,3.206,EEF1A1,ENSG00000156508.18_6
chr11,4.326,3.204,CTSD|AC068580.4,ENSG00000250644.3_7||ENSG00000117984.14_6
chr12,5.712,3.204,GXYLT1,ENSG00000151233.11_4
chr1,3.836,3.203,MTCO1P12,ENSG00000237973.1_4
chr17,5.86,3.203,PRPF8,ENSG00000174231.17_5
chr12,11.761,3.203,TMBIM6,ENSG00000139644.13_8
chr11,7.226,3.201,TMEM109,ENSG00000110108.10_3
chr3,4.818,3.2,GLB1,ENSG00000170266.16_5
chr8,5.446,3.2,SARAF,ENSG00000133872.14_9
chr5,4.263,3.2,MGAT4B,ENSG00000161013.17_6
chr15,9.009,3.198,NIPA2,ENSG00000140157.14_6
chr12,4.518,3.198,ATP6V0A2,ENSG00000185344.14_4
chr15,400.0,3.198,RPLP1,ENSG00000137818.12_3
chr6,20.848,3.198,TXNDC5,ENSG00000239264.9_5
chr10,15.635,3.198,GHITM,ENSG00000165678.21_4
chr12,16.494,3.197,MLEC,ENSG00000110917.8_3
chr5,400.0,3.197,RACK1,ENSG00000204628.12_7
chr1,3.105,3.197,RPA2,ENSG00000117748.10_4
chr16,6.177,3.197,NDUFAB1,ENSG00000004779.10_4
chr8,10.18,3.196,SQLE,ENSG00000104549.12_3
chr2,9.089,3.195,COX5B,ENSG00000135940.7_3
chr19,8.976,3.195,RPS9,ENSG00000170889.14_5
chr11,6.792,3.194,DDB1,ENSG00000167986.14_4
chr9,3.739,3.194,GNAQ,ENSG00000156052.11_6
chrX,4.263,3.194,MTMR1,ENSG00000063601.17_6
chr8,7.515,3.194,SQLE,ENSG00000104549.12_3
chr11,10.303,3.194,STIP1,ENSG00000168439.16_2
chr1,3.918,3.194,ATP1B1,ENSG00000143153.13_5
chr1,7.515,3.194,ICMT,ENSG00000116237.16_4
chr1,12.72,3.192,GALNT2,ENSG00000143641.10_3
chr7,5.257,3.192,CHST12,ENSG00000136213.10_6
chr10,10.471,3.191,FAM171A1,ENSG00000148468.17_4
chr5,400.0,3.191,RACK1,ENSG00000204628.12_7
chr8,6.325,3.19,COX6C,ENSG00000164919.11_6
chr2,13.926,3.19,SPTBN1,ENSG00000115306.16_5
chr1,10.185,3.19,H2AC20,ENSG00000184260.5_3
chr6,3.029,3.19,IGF2R,ENSG00000197081.14_7
chr10,30.911,3.19,SCD,ENSG00000099194.6_3
chr6,5.931,3.19,AL590867.2,ENSG00000218426.5_5
chr1,12.082,3.189,PPT1,ENSG00000131238.17_6
chr17,6.485,3.189,RNASEK,ENSG00000219200.6
chr11,9.791,3.188,GANAB,ENSG00000089597.18_5
chr11,12.038,3.188,GANAB,ENSG00000089597.18_5
chr6,21.705,3.186,H3C2,ENSG00000286522.1_2
chr1,8.976,3.186,GALNT2,ENSG00000143641.10_3
chr4,11.87,3.185,TMEM33,ENSG00000109133.13_3
chr10,9.074,3.185,ALDH18A1,ENSG00000059573.9_4
chr4,4.232,3.185,FAT1,ENSG00000083857.14_6
chr12,14.532,3.184,PCBP2,ENSG00000197111.15_4
chr19,4.518,3.183,CNN2,ENSG00000064666.15_6
chr12,35.813,3.183,UBC,ENSG00000150991.15_8
chr6,6.362,3.182,FUCA2,ENSG00000001036.14_4
chr3,14.281,3.181,RPL35A,ENSG00000182899.17_7
chr3,4.504,3.18,ATP2C1,ENSG00000017260.19_7
chr12,4.818,3.18,UNC119B,ENSG00000175970.11_4
chr14,3.392,3.18,TMX1,ENSG00000139921.13_3
chr1,3.394,3.178,ODR4,ENSG00000157181.16_5
chr21,3.394,3.178,BACE2,ENSG00000182240.16_4
chr10,29.376,3.178,SCD,ENSG00000099194.6_3
chr3,3.836,3.178,RFT1,ENSG00000163933.10_7
chr3,4.518,3.178,ATP13A3,ENSG00000133657.15_6
chr12,9.816,3.178,CS,ENSG00000062485.19_8
chr19,44.96,3.176,EEF2,ENSG00000167658.16_4
chr17,6.005,3.175,MSI2,ENSG00000153944.11_7
chr1,16.968,3.175,ICMT,ENSG00000116237.16_4
chr11,12.885,3.174,SERPINH1,ENSG00000149257.14_6
chr6,6.937,3.174,IGF2R,ENSG00000197081.14_7
chr22,3.619,3.174,IL17RA,ENSG00000177663.14_3
chr3,7.515,3.173,ABCC5,ENSG00000114770.17_6
chr14,18.041,3.173,CNIH1,ENSG00000100528.12_5
chr3,7.486,3.173,UQCRC1,ENSG00000010256.11_4
chr21,13.227,3.173,APP,ENSG00000142192.21_7
chr8,5.686,3.172,ASPH,ENSG00000198363.18_5
chr1,3.571,3.172,TMEM201,ENSG00000188807.13_4
chr3,4.924,3.172,CACNA2D3,ENSG00000157445.15_7
chr14,11.229,3.172,TMED10,ENSG00000170348.9_4
chr22,4.104,3.172,MIEF1,ENSG00000100335.15_7
chr20,14.443,3.171,RPS21,ENSG00000171858.18_3
chr20,7.108,3.17,NORAD,ENSG00000260032.2_5
chr1,19.086,3.17,CLSTN1,ENSG00000171603.18_4
chr19,69.783,3.17,RPS15,ENSG00000115268.9_4
chr11,6.828,3.169,JAM3,ENSG00000166086.13_4
chr1,4.653,3.168,ZMPSTE24,ENSG00000084073.9_3
chr15,4.661,3.168,HEXA,ENSG00000213614.9_7
chr15,7.288,3.167,HACD3,ENSG00000074696.13_4
chr11,12.55,3.165,LDHA,ENSG00000134333.14_7
chr1,5.33,3.165,ATP2B4,ENSG00000058668.14_4
chr11,3.029,3.165,AASDHPPT,ENSG00000149313.11_3
chr12,3.029,3.165,DENR,ENSG00000139726.11_3
chr19,20.498,3.164,TRIR,ENSG00000123144.11_7
chr1,17.25,3.163,ATP1A1,ENSG00000163399.16_4
chr5,3.305,3.163,CSNK1A1,ENSG00000113712.18_5
chr11,5.564,3.163,IPO7,ENSG00000205339.10_3
chr19,20.378,3.163,SLC1A5,ENSG00000105281.12_5
chr16,36.47,3.163,ARL6IP1,ENSG00000170540.15_5
chr1,10.873,3.162,ICMT,ENSG00000116237.16_4
chr13,13.359,3.161,ITM2B,ENSG00000136156.15_6
chr2,3.573,3.161,MMADHC,ENSG00000168288.13_4
chr10,3.573,3.161,MRPL43,ENSG00000055950.16_4
chr5,5.87,3.161,FAF2,ENSG00000113194.13_4
chr14,3.105,3.161,SIVA1,ENSG00000184990.13_6
chr12,3.064,3.16,CHD4,ENSG00000111642.15_7
chr18,6.771,3.159,CDH2,ENSG00000170558.9_5
chr1,6.933,3.159,NRAS,ENSG00000213281.5_4
chr11,18.623,3.159,FAU,ENSG00000149806.11_5
chr2,3.015,3.159,SF3B1,ENSG00000115524.16_4
chr16,3.015,3.159,ZDHHC7,ENSG00000153786.12_6
chr9,3.015,3.159,AGPAT2,ENSG00000169692.13_4
chr17,9.168,3.158,ALYREF,ENSG00000183684.8_4
chr3,10.93,3.158,SEC61A1,ENSG00000058262.10_3
chr8,4.592,3.157,CTSB,ENSG00000164733.21_5
chr11,6.282,3.157,SRPRA,ENSG00000182934.12_5
chr11,9.734,3.157,GANAB,ENSG00000089597.18_5
chr9,6.485,3.156,CTSL,ENSG00000135047.15_3
chr21,7.117,3.156,PPIAP22,ENSG00000198618.5_4
chr3,4.382,3.155,GLB1,ENSG00000170266.16_5
chr17,5.117,3.155,CANT1,ENSG00000171302.17_7
chr6,8.338,3.155,PERP,ENSG00000112378.12_4
chr2,4.367,3.154,PCYOX1,ENSG00000116005.12_6
chr16,10.464,3.154,RPL13,ENSG00000167526.13_4
chr2,5.446,3.153,ITM2C,ENSG00000135916.16_6
chr9,5.72,3.153,GPR107,ENSG00000148358.19_3
chr7,3.682,3.153,LAMB1,ENSG00000091136.14_5
chr19,37.557,3.152,RPS5,ENSG00000083845.9_5
chr5,7.301,3.152,YIPF5,ENSG00000145817.17_4
chr12,3.836,3.152,COPZ1,ENSG00000111481.10_6
chr1,5.257,3.152,EDEM3,ENSG00000116406.19_7
chr9,6.272,3.151,MAN1B1,ENSG00000177239.15_6
chr1,16.207,3.151,PPT1,ENSG00000131238.17_6
chr3,10.018,3.15,TMEM115,ENSG00000126062.4_4
chr1,6.896,3.15,PUM1,ENSG00000134644.15_5
chr11,8.01,3.15,CAPRIN1,ENSG00000135387.21_4
chr5,3.213,3.15,COX7C,ENSG00000127184.13_6
chr10,3.619,3.15,EIF5AL1,ENSG00000253626.3_3
chr5,13.289,3.148,COX7C,ENSG00000127184.13_6
chr17,5.33,3.148,SYNGR2,ENSG00000108639.7_5
chr4,7.226,3.148,FAT1,ENSG00000083857.14_6
chr2,3.682,3.147,ATG9A,ENSG00000198925.12_7
chr1,10.873,3.147,EPRS1,ENSG00000136628.18_4
chrX,7.404,3.147,ATP6AP2,ENSG00000182220.15_8
chr22,7.017,3.147,SPECC1L,ENSG00000100014.20_6
chr18,11.39,3.147,SLC39A6,ENSG00000141424.13_6
chr18,11.446,3.146,LMAN1,ENSG00000074695.6_4
chr11,8.092,3.145,FAU,ENSG00000149806.11_5
chr3,44.686,3.145,RHOA,ENSG00000067560.12_6
chr5,400.0,3.145,RACK1,ENSG00000204628.12_7
chr10,77.105,3.144,SCD,ENSG00000099194.6_3
chr12,23.684,3.144,GAPDH,ENSG00000111640.15_4
chr8,31.229,3.144,RPL8,ENSG00000161016.17_6
chr2,5.446,3.144,SLC20A1,ENSG00000144136.11_7
chr11,7.67,3.143,STT3A,ENSG00000134910.14_6
chr17,4.504,3.143,ACACA,ENSG00000278540.5_6
chr3,4.308,3.143,PCOLCE2,ENSG00000163710.9_6
chr3,13.332,3.143,RPN1,ENSG00000163902.12_5
chr1,11.21,3.143,ENAH,ENSG00000154380.17_6
chr2,7.226,3.143,MOGS,ENSG00000115275.13_7
chr11,8.159,3.143,GANAB,ENSG00000089597.18_5
chr5,9.6,3.142,FAF2,ENSG00000113194.13_4
chr1,4.507,3.139,MORF4L1P1,ENSG00000218283.2_4
chr7,3.394,3.139,SND1,ENSG00000197157.11_6
chr15,6.52,3.139,CHSY1,ENSG00000131873.7_5
chr1,3.394,3.139,MANEAL,ENSG00000185090.14_3
chr2,3.394,3.139,KIDINS220,ENSG00000134313.15_7
